link	Song Title	Artist	Key	Notes
https://tabs.ultimate-guitar.com/tab/chris-stapleton/starting-over-chords-3311129	Starting Over	Chris Stapleton	-	-
https://tabs.ultimate-guitar.com/tab/a-ha/take-on-me-chords-1842621	Take on Me	A-Ha	E	-
https://tabs.ultimate-guitar.com/tab/bruno-major/tell-her-chords-4850021	Tell Her	Bruno Major	D-5 (G)	-
https://tabs.ultimate-guitar.com/tab/coldplay/the-scientist-chords-42050	The Scientist	Coldplay	-	-
https://tabs.ultimate-guitar.com/tab/the-beatles/theres-a-place-chords-749741	There Is A Place	The Beatles	-	-
https://tabs.ultimate-guitar.com/tab/chris-stapleton/traveller-chords-1739355	Traveller	Chris Stapleton	D	-
https://tabs.ultimate-guitar.com/tab/sturgill-simpson/turtles-all-the-way-down-chords-1487920	Turtles All the Way Down	Sturgill Simpson	-	-
https://tabs.ultimate-guitar.com/tab/the-beatles/twist-and-shout-chords-489173	Twist and Shout	The Beatles	C	-
https://tabs.ultimate-guitar.com/tab/eric-hutchinson/watching-you-watch-him-chords-1131676	Watching You Watch Him	Eric Hutchinson	-	-
https://tabs.ultimate-guitar.com/tab/pat-benatar/we-belong-chords-713978	We Belong	Pat Benatar	C	Distortion
https://tabs.ultimate-guitar.com/tab/ryan-bingham/the-weary-kind-chords-938322	Weary Kind	Ryan Bingham	D-3	-
https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/whipping-post-chords-59593	Whipping Post	Allman Brothers	C	-
https://tabs.ultimate-guitar.com/tab/chris-isaak/wicked-game-chords-11066	Wicked Game	Chris Isaak	G-1	-
https://tabs.ultimate-guitar.com/tab/u2/with-or-without-you-chords-835	With or Without You	U2	C	-
https://tabs.ultimate-guitar.com/tab/chris-stapleton/you-should-probably-leave-chords-1678318	You Should Probably Leave	Chris Stapleton	E	-
https://tabs.ultimate-guitar.com/tab/kenny-chesney/young-chords-1465112	Young	Kenny Chesney	A	-
https://tabs.ultimate-guitar.com/tab/brooks-dunn/youre-gonna-miss-me-when-im-gone-chords-2331141	You’re Gonna Miss Me When I’m Gone	Brooks & Dunn	G-1	-
https://tabs.ultimate-guitar.com/tab/the-beatles/youve-got-to-hide-your-love-away-chords-17403	You’ve Got to Hide Your Love	The Beatles	G	-
https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/the-zephyr-song-chords-39183	Zephyr Song	Red Hot Chili Peppers	-	-
